0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:33:03 -0700] "GET /AirbnbSeattle/FindAirbnbListings HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:33:07 -0700] "GET /AirbnbSeattle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:33:07 -0700] "GET /AirbnbSeattle/ HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:33:07 -0700] "GET /AirbnbSeattle/css/responsive.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:33:07 -0700] "GET /AirbnbSeattle/img/seattle-bg.jpg HTTP/1.1" 200 2577827
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:33:07 -0700] "GET /AirbnbSeattle/css/main.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:33:07 -0700] "GET /AirbnbSeattle/js/main.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:35:01 -0700] "GET /AirbnbSeattle/ HTTP/1.1" 200 3663
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:35:01 -0700] "GET /AirbnbSeattle/css/main.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:35:01 -0700] "GET /AirbnbSeattle/css/responsive.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Jul/2022:21:35:01 -0700] "GET /AirbnbSeattle/js/main.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:49:35 -0700] "GET /AirbnbSeattle/ HTTP/1.1" 200 3668
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:49:35 -0700] "GET /AirbnbSeattle/css/responsive.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:49:35 -0700] "GET /AirbnbSeattle/css/main.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:49:35 -0700] "GET /AirbnbSeattle/js/main.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:00 -0700] "GET /AirbnbSeattle/ HTTP/1.1" 200 3666
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:00 -0700] "GET /AirbnbSeattle/css/responsive.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:00 -0700] "GET /AirbnbSeattle/css/main.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:00 -0700] "GET /AirbnbSeattle/js/main.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:01 -0700] "GET /findusers HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:15 -0700] "GET /AirbnbSeattle/ HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:15 -0700] "GET /AirbnbSeattle/css/responsive.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:15 -0700] "GET /AirbnbSeattle/css/main.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:15 -0700] "GET /AirbnbSeattle/js/main.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:18 -0700] "GET /AirbnbSeattle/findusers HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [20/Jul/2022:23:50:21 -0700] "GET /AirbnbSeattle/hostcreate HTTP/1.1" 200 1134
