127.0.0.1 - - [12/Aug/2022:17:34:08 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/ HTTP/1.1" 200 9889
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/css/main.css HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/css/responsive.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/js/main.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/img/host.jpg HTTP/1.1" 200 4533904
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/img/hotel-bg.jpg HTTP/1.1" 200 2903610
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/img/seattle-bg.jpg HTTP/1.1" 200 2577827
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /AirbnbSeattle/img/ThingsToDo.jpg HTTP/1.1" 200 5475198
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:09 -0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:28 -0700] "GET /AirbnbSeattle/findusers HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:46 -0700] "GET /AirbnbSeattle/FindAirbnbListings HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:46 -0700] "GET /AirbnbSeattle/img/hotel1.jpg HTTP/1.1" 200 6476297
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:34:56 -0700] "POST /AirbnbSeattle/FindAirbnbListings HTTP/1.1" 200 340786
0:0:0:0:0:0:0:1 - - [12/Aug/2022:17:35:02 -0700] "GET /AirbnbSeattle/listingDetail?listingId=6606 HTTP/1.1" 200 81755
